Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-04-30,The Redeem Team,2022,https://boxd.it/6nmyjF,3,,,2024-04-29
2024-05-05,Godzilla: King of the Monsters,2019,https://boxd.it/6pBaez,2.5,,,2024-05-04
2024-05-06,War for the Planet of the Apes,2017,https://boxd.it/6q8sxv,3.5,,,2024-05-05
2024-05-10,Challengers,2024,https://boxd.it/6rCA5t,4,,,2024-05-09
2024-05-12,The Idea of You,2024,https://boxd.it/6sclGh,1.5,,,2024-05-11
2024-05-16,The Iron Claw,2023,https://boxd.it/6u0RRF,4,,,2024-05-15
2024-05-25,"nothing, except everything.",2023,https://boxd.it/6xqfwD,3,,,2024-05-24
2024-05-26,12th Fail,2023,https://boxd.it/6y0xR7,3.5,,,2024-05-25
2024-06-05,The Other Boleyn Girl,2008,https://boxd.it/6Cin1d,3,,,2024-06-04
2024-06-08,Mad Max: Fury Road,2015,https://boxd.it/6DlEMF,5,,,2024-06-07
2024-06-09,Kingdom of the Planet of the Apes,2024,https://boxd.it/6DHue3,3.5,,,2024-06-08
2024-06-11,Hit Man,2023,https://boxd.it/6EFxnH,3.5,,,2024-06-10
2024-06-16,Inside Out 2,2024,https://boxd.it/6Gwycb,3.5,,,2024-06-15
2024-06-20,Two Can Play That Game,2001,https://boxd.it/6HTIK3,3,,,2024-06-19
2024-06-22,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/6IPQU7,4,,,2024-06-21
2024-06-22,Burn After Reading,2008,https://boxd.it/6IS6Wd,3.5,,,2024-06-21
2024-06-24,The Virgin Suicides,1999,https://boxd.it/6JO86z,3,,,2024-06-23
2024-06-26,Shiva Baby,2020,https://boxd.it/6KxVCJ,3.5,,,2024-06-25
2024-07-04,Kinds of Kindness,2024,https://boxd.it/6NJEup,4,,,2024-07-03
2024-07-08,Independence Day,1996,https://boxd.it/6PrWQv,3,,,2024-07-07
2024-07-14,Muriel's Wedding,1994,https://boxd.it/6RX9U1,3,,,2024-07-13
2024-07-14,Kicking and Screaming,1995,https://boxd.it/6SdFOV,3.5,,,2024-07-13
2024-07-17,Wild Things,1998,https://boxd.it/6Tx1Cp,1.5,,,2024-07-16
2024-07-26,Fatal Attraction,1987,https://boxd.it/6XFCxX,3.5,,,2024-07-25
2024-07-27,Deadpool & Wolverine,2024,https://boxd.it/6Y1fw7,3,,,2024-07-26
2024-08-04,Grown Ups,2010,https://boxd.it/71Fm7v,3.5,,,2024-08-04
2024-08-06,The Girl with the Dragon Tattoo,2011,https://boxd.it/72z3LN,4,,,2024-08-05
2024-08-14,Fight Club,1999,https://boxd.it/75WzNp,4,,,2024-08-13
2024-08-22,Furiosa: A Mad Max Saga,2024,https://boxd.it/79KMR7,3.5,,,2024-08-21
2024-08-23,Untold: The Murder of Air McNair,2024,https://boxd.it/7a9jKL,3,,,2024-08-22
2024-08-26,Notting Hill,1999,https://boxd.it/7bqgmp,4,,,2024-08-25
2024-08-26,Perfect Days,2023,https://boxd.it/7bGhSj,4,,,2024-08-25
2024-08-26,The Campaign,2012,https://boxd.it/7bGiVj,3,,,2024-08-25
2024-09-08,Along Came Polly,2004,https://boxd.it/7hyKol,3,,,2024-09-07
2024-09-15,The Beach,2000,https://boxd.it/7kDVG3,3,,,2024-09-14
2024-09-21,Goldfinger,1964,https://boxd.it/7neNIR,3.5,,,2024-09-20
2024-10-05,Requiem for a Dream,2000,https://boxd.it/7tvmYB,4,,,2024-10-04
2024-10-15,Breakfast at Tiffany's,1961,https://boxd.it/7ypGuJ,2.5,,,2024-10-14
2024-10-15,"Lover, Stalker, Killer",2024,https://boxd.it/7yt8L5,3.5,,,2024-10-14
2024-10-20,Hot Summer Nights,2017,https://boxd.it/7B5qLh,2.5,,,2024-10-19
2024-10-24,True Romance,1993,https://boxd.it/7D8gVP,4.5,,,2024-10-23
2024-10-26,It's What's Inside,2024,https://boxd.it/7E6VIx,4,,,2024-10-25
2024-11-02,Plus One,2019,https://boxd.it/7HP7g1,3,,,2024-11-01
2024-11-02,Hasan Minhaj: Off with His Head,2024,https://boxd.it/7HRbFt,3.5,,,2024-11-01
2024-11-03,Dog Gone,2023,https://boxd.it/7IhoMJ,3,,,2024-11-02
2024-11-07,Quincy,2018,https://boxd.it/7Kqyuh,3,,,2024-11-06
2024-11-09,Red Rocket,2021,https://boxd.it/7LkSaN,4,,,2024-11-08
2024-11-10,Entourage,2015,https://boxd.it/7LWzbN,3,,,2024-11-09
2024-11-12,Dìdi (弟弟),2024,https://boxd.it/7MUXWj,3.5,,,2024-11-11
